rank,player_id,player_name,position,season,total_snaps,success_rate,explosiveness,reliability,success_rate_scaled,explosiveness_scaled,reliability_scaled,CSS_Score,tier
1,00-0039855,Jalen McMillan,WR,2024,66,0.5606060606060606,3.291858083639656,0.75,0.8779884827759764,0.8548513824240763,0.06346153846153846,0.6662587615742019,High-Floor
2,00-0038454,Keaton Mitchell,RB,2023,58,0.5344827586206896,2.6568931625733967,5.0,0.7937098866297186,0.606735880451743,0.42307692307692313,0.6356107435792284,High-Floor
3,00-0039915,Ladd McConkey,WR,2024,127,0.5984251968503937,2.7094417639855237,0.6666666666666666,1.0,0.6272694913407034,0.05641025641025641,0.6336468860718103,High-Floor
4,00-0039065,Sam LaPorta,TE,2023,150,0.5866666666666667,2.733814780109242,0.8666666666666667,0.9620648102914834,0.6367933609742592,0.07333333333333333,0.6260369337909174,High-Floor
5,00-0039363,Isaac Guerendo,RB,2024,100,0.4,2.7851981504587457,11.818181818181818,0.35984367366878367,0.6568716523952857,1.0,0.6238425478058635,High-Floor
6,00-0039040,De'Von Achane,RB,2023,152,0.5,3.0310136218962724,3.5,0.6824621397166585,0.7529251934095983,0.29615384615384616,0.6105471351184842,High-Floor
7,00-0038393,Dontayvion Wicks,WR,2023,63,0.5873015873015873,2.6136144250097764,0.6666666666666666,0.9641131815044858,0.5898245120610378,0.05641025641025641,0.6061864159257215,High-Floor
8,00-0038933,Dalton Kincaid,TE,2023,102,0.5882352941176471,2.518498786151343,0.9,0.9671254921118423,0.5526576329188801,0.07615384615384616,0.5993188299048066,High-Floor
9,00-0039894,Xavier Worthy,WR,2024,143,0.5664335664335665,2.750925996915612,0.5238095238095238,0.8967890926855265,0.6434796486830993,0.044322344322344324,0.5950141001938813,High-Floor
10,00-0039338,Brock Bowers,TE,2024,158,0.5632911392405063,2.6941346706841918,0.8571428571428571,0.8866510422786046,0.6212881732990395,0.07252747252747253,0.5902431456979739,High-Floor
11,00-0039064,Zay Flowers,WR,2023,132,0.5378787878787878,2.9274833148811013,0.7857142857142857,0.8046661041287321,0.71247024347113,0.06648351648351648,0.5878519059872674,High-Floor
12,00-0039067,Rashee Rice,WR,2023,138,0.5797101449275363,2.5065442644949405,0.7272727272727273,0.9396217865664139,0.5479863478711383,0.06153846153846154,0.5830285517660794,High-Floor
13,00-0038997,Josh Downs,WR,2023,98,0.5204081632653061,3.0760160309961067,0.6153846153846154,0.7483026429917351,0.7705100944857389,0.05207100591715977,0.5820173417459926,High-Floor
14,00-0039893,Brian Thomas Jr.,WR,2024,141,0.5319148936170213,2.9036743729747183,0.8,0.7854254799447037,0.7031667884666984,0.0676923076923077,0.5772016448643028,High-Floor
15,00-0039075,Puka Nacua,WR,2023,183,0.5737704918032787,2.5313544966592154,0.6,0.9204593687683694,0.5576810617100573,0.05076923076923077,0.5760644267981755,High-Floor
16,00-0038977,Tank Dell,WR,2023,87,0.5287356321839081,2.9776734975224826,0.375,0.7751685954775421,0.7320822912347101,0.03173076923076923,0.5742289324308578,High-Floor
17,00-0039424,Devaughn Vele,WR,2024,57,0.5789473684210527,2.4893105779109255,0.4,0.9371609287018229,0.5412522045259494,0.03384615384615385,0.5727641815263499,High-Floor
18,00-0039361,Bucky Irving,RB,2024,279,0.4731182795698925,2.4761708719729953,6.114285714285714,0.5957367456177675,0.5361178031970008,0.5173626373626373,0.5552765887067166,High-Floor
19,00-0039144,Luke Musgrave,TE,2023,53,0.5283018867924528,2.7769933561309394,0.7777777777777778,0.7737692527490759,0.6536655907756849,0.06581196581196581,0.5547436493241116,High-Floor
20,00-0039794,Braelon Allen,RB,2024,119,0.453781512605042,2.93933870352339,3.6666666666666665,0.5333527646525146,0.717102791831627,0.31025641025641026,0.5418911855661779,High-Floor
21,00-0038559,Michael Wilson,WR,2023,59,0.5423728813559322,2.564952267392073,0.5625,0.819164879567453,0.5708095471963671,0.04759615384615385,0.5393483318072482,High-Floor
22,00-0039916,Ricky Pearsall,WR,2024,50,0.5,2.9463356447813567,0.625,0.6824621397166585,0.719836879235347,0.05288461538461539,0.5381489174651887,High-Floor
23,00-0039901,Keon Coleman,WR,2024,68,0.47058823529411764,3.0932420994674126,0.38461538461538464,0.5875743555849305,0.7772412610178848,0.03254437869822486,0.5152002782647881,High-Floor
24,00-0038994,Jordan Addison,WR,2023,109,0.45871559633027525,3.1505635769222864,0.6666666666666666,0.5492710298803799,0.7996398954631218,0.05641025641025641,0.5136849394668086,High-Floor
25,00-0038543,Jaxon Smith-Njigba,WR,2023,93,0.4838709677419355,2.894422888589491,0.75,0.6304269032573239,0.6995517278293718,0.06346153846153846,0.5128792506585942,High-Floor
26,00-0039337,Malik Nabers,WR,2024,177,0.4689265536723164,3.0432350398605195,0.5757575757575758,0.582213463826076,0.7577007694334216,0.048717948717948725,0.5102601420116151,High-Floor
27,00-0038611,Chris Rodriguez,RB,2023,53,0.4339622641509434,2.571648654048605,5.666666666666667,0.46941220930768457,0.5734261914889313,0.47948717948717956,0.5083358456159947,High-Floor
