rank,player_id,player_name,position,season,total_snaps,success_rate,explosiveness,reliability,success_rate_scaled,explosiveness_scaled,reliability_scaled,CSS_Score,tier,cluster
1,00-0039855,Jalen McMillan,WR,2024,66,0.5606060606060606,3.291858083639656,0.75,0.7766075388026608,0.8450074955918401,0.06346153846153846,0.622261023593593,High-Floor,0
2,00-0040134,Pat Bryant,WR,2025,54,0.5555555555555556,3.250996674410999,0.5555555555555556,0.7621951219512197,0.8292245721570675,0.047008547008547015,0.6068587857875982,High-Floor,0
3,00-0039363,Isaac Guerendo,RB,2024,100,0.4,2.7851981504587457,11.818181818181818,0.31829268292682933,0.6493075654177956,1.0,0.6045747210669602,High-Floor,2
4,00-0038454,Keaton Mitchell,RB,2023,58,0.5344827586206896,2.6568931625733967,5.0,0.7020605550883094,0.5997491229088263,0.42307692307692313,0.5965056458226439,High-Floor,0
5,00-0040734,TreVeyon Henderson,RB,2025,258,0.3992248062015504,3.393408044266315,7.44,0.31608054452637546,0.8842316751693438,0.6295384615384616,0.5932979195044359,High-Floor,2
6,00-0039915,Ladd McConkey,WR,2024,127,0.5984251968503937,2.7094417639855237,0.6666666666666666,0.884530439792587,0.6200462827069841,0.05641025641025641,0.5849309389670434,High-Floor,0
7,00-0039065,Sam LaPorta,TE,2023,150,0.5866666666666667,2.733814780109242,0.8666666666666667,0.8509756097560977,0.6294604819384031,0.07333333333333333,0.5790347459142134,High-Floor,0
8,00-0039040,De'Von Achane,RB,2023,152,0.5,3.0310136218962724,3.5,0.603658536585366,0.7442550192138842,0.29615384615384616,0.5759911328974674,High-Floor,0
9,00-0038393,Dontayvion Wicks,WR,2023,63,0.5873015873015873,2.6136144250097764,0.6666666666666666,0.8527874564459932,0.5830324943290861,0.05641025641025641,0.5592789196961414,High-Floor,0
10,00-0040189,Oronde Gadsden II,TE,2025,72,0.6388888888888888,2.136742154162758,0.875,1.0,0.39883819753361227,0.07403846153846154,0.5581029845213796,High-Floor,0
11,00-0038933,Dalton Kincaid,TE,2023,102,0.5882352941176471,2.518498786151343,0.9,0.8554519368723101,0.5462936036767466,0.07615384615384616,0.5524219975742469,High-Floor,0
12,00-0039894,Xavier Worthy,WR,2024,143,0.5664335664335665,2.750925996915612,0.5238095238095238,0.7932372505543239,0.6360697749077049,0.044322344322344324,0.5509999075200123,High-Floor,0
